"","nest","population","species","lat","lon","filename_forward","PCR_run","SRA_Run","readID"
"BC31","B_2","B","sarasinorum","15.4872","74.976","BC31_S31_L001_R1_001.fastq.gz",0,"SRR6489686","BC31"
"BC33","B_2","B","sarasinorum","15.4872","74.976","BC33_S33_L001_R1_001.fastq.gz",0,"SRR6489687","BC33"
"BC34","B_2","B","sarasinorum","15.4872","74.976","BC34_S34_L001_R1_001.fastq.gz",0,"SRR6489675","BC34"
"BC35","B_2","B","sarasinorum","15.4872","74.976","BC35_S35_L001_R1_001.fastq.gz",0,"SRR6489674","BC35"
"BC36","B_11","B","sarasinorum","15.4872","74.976","BC36_S36_L001_R1_001.fastq.gz",0,"SRR6489682","BC36"
"BC37","B_11","B","sarasinorum","15.4872","74.976","BC37_S37_L001_R1_001.fastq.gz",0,"SRR6489683","BC37"
"BC38","B_11","B","sarasinorum","15.4872","74.976","BC38_S38_L001_R1_001.fastq.gz",0,"SRR6489684","BC38"
"BC3","A_1","A","sarasinorum","14.7825","74.5723","BC3_S3_L001_R1_001.fastq.gz",0,"SRR6489710","BC3"
"BC49","B_30","B","sarasinorum","15.4872","74.976","BC49_S49_L001_R1_001.fastq.gz",0,"SRR6489673","BC49"
"BC4","A_1","A","sarasinorum","14.7825","74.5723","BC4_S4_L001_R1_001.fastq.gz",0,"SRR6489709","BC4"
"BC50","B_30","B","sarasinorum","15.4872","74.976","BC50_S50_L001_R1_001.fastq.gz",0,"SRR6489672","BC50"
"BC52","C_1","C","sarasinorum","15.4872","74.976","BC52_S52_L001_R1_001.fastq.gz",0,"SRR6489668","BC52"
"BC53","C_1","C","sarasinorum","15.4872","74.976","BC53_S53_L001_R1_001.fastq.gz",0,"SRR6489677","BC53"
"BC55","C_1","C","sarasinorum","15.4872","74.976","BC55_S55_L001_R1_001.fastq.gz",0,"SRR6489676","BC55"
"BC58","C_10","C","sarasinorum","15.4872","74.976","BC58_S58_L001_R1_001.fastq.gz",0,"SRR6489659","BC58"
"BC59","C_10","C","sarasinorum","15.4872","74.976","BC59_S59_L001_R1_001.fastq.gz",0,"SRR6489664","BC59"
"BC61","C_12","C","sarasinorum","15.4872","74.976","BC61_S61_L001_R1_001.fastq.gz",0,"SRR6489662","BC61"
"BC62","C_12","C","sarasinorum","15.4872","74.976","BC62_S62_L001_R1_001.fastq.gz",0,"SRR6489663","BC62"
"BC63","C_12","C","sarasinorum","15.4872","74.976","BC63_S63_L001_R1_001.fastq.gz",0,"SRR6489666","BC63"
"BC67","C_22","C","sarasinorum","15.4872","74.976","BC67_S67_L001_R1_001.fastq.gz",0,"SRR6489649","BC67"
"BC68","C_22","C","sarasinorum","15.4872","74.976","BC68_S68_L001_R1_001.fastq.gz",0,"SRR6489648","BC68"
"BC69","C_22","C","sarasinorum","15.4872","74.976","BC69_S69_L001_R1_001.fastq.gz",0,"SRR6489651","BC69"
"BC6","A_2","A","sarasinorum","14.7825","74.5723","BC6_S6_L001_R1_001.fastq.gz",0,"SRR6489695","BC6"
"BC72","C_26","C","sarasinorum","15.4872","74.976","BC72_S72_L001_R1_001.fastq.gz",0,"SRR6489653","BC72"
"BC74","C_26","C","sarasinorum","15.4872","74.976","BC74_S74_L001_R1_001.fastq.gz",0,"SRR6489652","BC74"
"BC76","E_1","E","sarasinorum","13.0259","77.5643","BC76_S76_L001_R1_001.fastq.gz",0,"SRR6489647","BC76"
"BC79","E_1","E","sarasinorum","13.0259","77.5643","BC79_S79_L001_R1_001.fastq.gz",0,"SRR6489730","BC79"
"BC8","A_2","A","sarasinorum","14.7825","74.5723","BC8_S8_L001_R1_001.fastq.gz",0,"SRR6489694","BC8"
"BC92","E_18","E","sarasinorum","13.0259","77.5643","BC92_S92_L001_R1_001.fastq.gz",0,"SRR6489728","BC92"
"BC95","E_23","E","sarasinorum","13.0259","77.5643","BC95_S95_L001_R1_001.fastq.gz",0,"SRR6489727","BC95"
"BC96","E_23","E","sarasinorum","13.0259","77.5643","BC96_S96_L001_R1_001.fastq.gz",0,"SRR6489734","BC96"
"BC97","E_23","E","sarasinorum","13.0259","77.5643","BC97_S97_L001_R1_001.fastq.gz",0,"SRR6489733","BC97"
"BC98","E_23","E","sarasinorum","13.0259","77.5643","BC98_S98_L001_R1_001.fastq.gz",0,"SRR6489732","BC98"
"BC99","E_23","E","sarasinorum","13.0259","77.5643","BC99_S99_L001_R1_001.fastq.gz",0,"SRR6489731","BC99"
"BC9","A_2","A","sarasinorum","14.7825","74.5723","BC9_S9_L001_R1_001.fastq.gz",0,"SRR6489697","BC9"
